"""Customer Provided Item"" cannot be Purchase Item also","""Customer Provided Item"" cannot be Purchase Item also",
"""Customer Provided Item"" cannot have Valuation Rate","El ""producto proporcionado por el cliente"" no puede tener una tasa de valoración",
"""From Date"" can not be greater than or equal to ""To Date""","""From Date"" can not be greater than or equal to ""To Date""",
"""Is Fixed Asset"" cannot be unchecked, as Asset record exists against the item","""Es activo fijo"" no puede estar sin marcar, ya que existe registro de activos contra el elemento",
%  Delivered,Porcentaje entregado,
% Amount Billed,Procentaje facturado,
% Billed,% Facturado,
% Complete,% Completo,
% Complete Method,% Método completado,
% Completed,% Completado,
% Finished Item Quantity,% Finished Item Quantity,
% Installed,% Instalado,
% Occupied,% Occupied,
% Of Applicant Portfolio,% Of Applicant Portfolio,
% Of Grand Total,% Del total general,
% Of Total Portfolio,% Of Total Portfolio,
% Ordered,% Ordenado,
% Progress,% Progreso,
% Received,% Recibido,
% Returned,% Returned,
% Utilization (B + NB) / T,% Utilization (B + NB) / T,
% Utilization (B / T),% Utilization (B / T),
% of materials billed against this Sales Order,Porcentaje de materiales facturados contra esta orden de venta,
% of materials delivered against this Delivery Note,% de materiales entregados contra esta nota de entrega,
% of materials delivered against this Sales Order,Porcentaje de materiales entregados para esta orden de venta,
'Account' in the Accounting section of Customer {0},'Account' in the Accounting section of Customer {0},
'Based On' and 'Group By' can not be same,'Based On' and 'Group By' can not be same,
'Date' is required,'Date' is required,
'Days Since Last Order' must be greater than or equal to zero,'Days Since Last Order' must be greater than or equal to zero,
'Default {0} Account' in Company {1},'Default {0} Account' in Company {1},
'Entries' cannot be empty,'Entries' cannot be empty,
'From Date' is required,'From Date' is required,
'From Date' must be after 'To Date','From Date' must be after 'To Date',
'Has Serial No' can not be 'Yes' for non-stock item,'Has Serial No' can not be 'Yes' for non-stock item,
'Opening','Opening',
'To Case No.' cannot be less than 'From Case No.','To Case No.' cannot be less than 'From Case No.',
'To Date' is required,'To Date' is required,
